state,population
Andaman and Nicobar,379944
Andhra Pradesh,84665533
Arunachal Pradesh,1382611
Assam,31169272
Bihar,103804637
Chandigarh,1054686
Chhattisgarh,25540196
Dadra and Nagar Haveli,342853
Daman and Diu,242911
Delhi,16753235
Goa,1457723
Gujarat,60383628
Haryana,25353081
Himachal Pradesh,6856509
Jammu and Kashmir,12548926
Jharkhand,32966238
Karnataka,61130704
Kerala,33387677
Lakshadweep,64429
Madhya Pradesh,72597565
Maharashtra,112372972
Manipur,2721756
Meghalaya,2964007
Mizoram,1091014
Nagaland,1980602
Orissa,41947358
Puducherry,1244464
Punjab,27704236
Rajasthan,68621012
Sikkim,607688
Tamil Nadu,67860000
Telangana,35190000
Tripura,3671032
Uttar Pradesh,199581477
Uttaranchal,10116752
West Bengal,91347736
